timeNS
2004000
431500
377100
415300
388200
396300
182200
85900
94900
79000
68600
83600
84600
79400
91300
89200
76900
63200
78000
64600
63900
88700
65200
62800
67700
70000
368300
81200
384300
500800
533000
573800
485800
797500
474400
12710200
508000
18153800
33264600
54107700
64100
68791800
50594600
94558400
440000
96447900
124597400
129418900
133732800
168095000
74600
189544400
169332500
215400300
223525300
70700
217642400
248556100
135741400
302822700
271642600
62400
66800
112200
74200
66200
57100
67100
57600
56500
77300
51900
68500
60600
70600
64600
65900
72500
11988800
68600
64400
68200
66600
65300
85900
64900
66300
55000
77200
58100
72700
101400
103300
68200
59200
63600
60500
55700
68000
70200
