timeNS
1996200
610500
392800
539100
510500
493700
215500
81900
63900
81300
85500
61700
71200
103400
80800
95100
82800
82400
63500
66700
65100
80900
89900
74400
86500
73100
381700
370300
102900
468700
424300
440900
424300
592400
387100
397500
18456400
32236800
64801600
21608700
73700
63845700
65508900
65632000
89877600
99819700
65758000
99730800
100665900
124955500
88029800
131275500
80300
181364000
203386700
61800
201753000
201306400
67300
175681600
74300
68000
60800
55300
64500
75800
55300
66900
71900
57500
59600
71900
66600
62000
82300
254800
68300
64800
66100
64800
65200
67000
65500
85800
61700
87000
73600
64500
72300
65500
68700
54900
581000
54400
70600
57800
89100
69800
142730800
75800
